Fare_D,Fare_E,Fare_F,Fare_G
54,37,78,47
55,21,75,24
48,24,75,44
54,32,60,36
59,38,52,21
42,38,88,28
53,44,76,57
59,22,67,40
51,37,76,4
36,12,72,42
52,22,80,48
37,18,69,61
66,34,59,50
45,23,37,41
43,30,35,42
25,38,77,36
55,22,71,49
19,26,69,37
64,21,60,17
65,28,63,39
56,32,109,45
45,25,64,21
50,36,60,30
65,18,38,26
34,33,64,37
61,24,81,58
45,35,66,51
34,16,64,29
44,28,80,35
41,27,58,28
33,30,61,51
35,25,97,28
47,20,49,58
51,31,44,44
61,39,80,26
53,35,43,26
58,37,46,49
50,36,60,47
58,27,70,32
66,29,56,31
51,36,49,62
53,33,68,40
48,38,69,49
45,31,57,54
41,27,65,35
57,27,90,30
51,23,76,39
48,39,60,47
42,30,52,32
49,44,71,59
52,26,93,45
43,33,65,16
59,38,97,45
47,36,82,59
49,28,59,46
34,36,78,47
51,42,83,32
44,22,78,27
60,40,56,37
50,37,94,19
46,27,48,34
54,27,46,74
52,30,53,43
48,14,53,49
69,32,86,38
49,38,94,55
39,29,74,36
53,36,85,60
46,19,75,62
45,35,80,42
50,22,35,26
46,38,68,33
41,35,90,52
56,18,64,63
61,17,69,44
42,11,71,30
42,27,67,39
41,28,43,43
21,27,83,27
57,39,20,38
21,29,69,10
69,32,57,57
32,20,35,61
53,35,74,46
50,32,71,32
49,32,71,22
36,38,65,47
39,18,57,37
43,40,72,62
54,10,85,21
52,23,102,57
42,28,73,50
50,21,59,39
62,33,58,47
46,37,107,35
58,24,68,40
48,49,65,47
30,33,87,33
24,29,70,48
70,26,57,25
51,33,61,49
54,30,56,34
25,31,70,42
55,33,68,40
35,25,70,31
58,24,73,41
57,37,80,14
61,42,62,42
41,14,58,33
46,22,58,39
42,34,80,68
61,31,60,43
53,25,81,23
47,34,65,37
48,23,87,27
53,33,55,40
40,41,52,32
37,19,93,46
51,24,83,30
57,23,60,49
58,34,54,34
51,23,90,11
42,25,27,23
56,30,93,58
54,32,70,8
36,30,79,43
41,37,92,51
59,25,86,41
55,32,68,29
49,37,63,50
57,27,90,35
65,33,69,29
49,28,51,37
41,34,89,25
67,28,55,49
45,29,63,30
57,27,48,46
37,20,87,25
26,34,65,37
46,31,58,57
35,33,79,30
39,38,55,32
58,30,43,60
44,26,73,47
69,16,82,48
48,36,84,23
67,17,52,36
69,27,69,57
46,20,63,56
50,45,81,32
50,23,59,93
60,36,60,58
60,45,97,22
38,21,55,43
44,46,98,39
69,41,63,15
47,24,73,41
50,34,51,44
45,31,84,25
47,29,62,50
42,25,59,53
45,33,99,39
61,43,85,39
56,19,58,32
72,23,57,27
55,31,86,48
36,23,90,37
61,28,55,36
40,25,73,46
34,29,61,32
51,25,90,54
61,26,55,40
48,25,52,39
45,35,79,53
37,33,59,25
45,38,64,58
55,26,87,45
40,44,73,40
41,39,77,47
44,36,83,31
35,34,46,41
45,39,64,53
44,37,100,27
52,51,70,40
57,30,44,53
29,26,88,35
43,37,57,25
52,28,51,47
54,27,65,45
61,27,79,46
